,,
NAT - SAO,2322,1
NAT - REC - SAO,247 - 2130,2
NAT - SAV - SAO,875 - 1471,2
NAT - BHO - SAO,1801 - 499,2
NAT - BSB - SAO,1770 - 864,2
NAT - REC - SAV - SAO,247 - 675 - 1471,2
NAT - REC - BHO - SAO,247 - 1632 - 499,2
