,,
NAT - SAL,1071,4
NAT - FOR - SAL,414 - 647,3
NAT - TER - SAL,844 - 317,4
NAT - REC - SAL,247 - 1201,3
NAT - REC - TER - SAL,247 - 937 - 317,4
NAT - REC - FOR - SAL,247 - 628 - 647,3
NAT - FOR - TER - SAL,414 - 497 - 317,4
