,,
NAT - RIB,3619,6
NAT - BEL - RIB,1552 - 2340,5
NAT - MAN - RIB,2752 - 1151,5
NAT - BOA - RIB,2970 - 1623,6
NAT - BEL - MAN - RIB,1552 - 1299 - 1151,5
NAT - BEL - BOA - RIB,1552 - 1437 - 1623,6
NAT - SAL - BEL - RIB,1071 - 490 - 2340,5
