,,
NAT - FLO,2805,5
NAT - CUR - FLO,2643 - 251,4
NAT - RIO - FLO,2086 - 755,3
NAT - SAO - FLO,2322 - 501,3
NAT - BSB - FLO,1770 - 1314,4
NAT - REC - SAO - FLO,247 - 2130 - 501,3
NAT - SAV - BHO - FLO,875 - 957 - 1007,4
