,,
NAT - SAV,875,2
NAT - REC - SAV,247 - 675,2
NAT - JPE - SAV,141 - 740,3
NAT - JPE - REC - SAV,141 - 110 - 675,3
NAT - JPE - MAC - SAV,141 - 296 - 477,4
NAT - JPE - ARA - SAV,141 - 486 - 254,4
NAT - REC - ARA - SAV,247 - 398 - 254,3
