,,
NAT - RIO,2086,1
NAT - SAV - RIO,875 - 1212,2
NAT - VIT - RIO,1686 - 418,4
NAT - REC - RIO,247 - 1875,2
NAT - BHO - RIO,1801 - 352,2
NAT - REC - SAV - RIO,247 - 675 - 1624,2
NAT - REC - VIT - RIO,247 - 1480 - 418,3
