,,
NAT - BSB,1770,2
NAT - REC - BSB,247 - 1654,2
NAT - SAV - BSB,875 - 1083,2
NAT - TER - BSB,844 - 1314,3
NAT - REC - SAV - BSB,247 - 675 - 1083,2
NAT - REC - ARA - BSB,247 - 398 - 1292,3
NAT - ARA - SAV - BSB,599 - 254 - 1083,3
