,,
NAT - MAN,2752,4
NAT - FOR - MAN,414 - 2389,3
NAT - BEL - MAN,1552 - 1299,4
NAT - FOR - BEL - MAN,414 - 1137 - 1299,4
NAT - SAL - MAN,1071 - 1757,4
NAT - SAL - BEL - MAN,1071 - 490 - 1299,4
NAT - FOR - SAL - MAN,414 - 647 - 1757,4
