,,
NAT - TER,844,4
NAT - FOR - TER,414 - 497,3
NAT - JPE - TER,141 - 905,4
NAT - REC - TER,247 - 937,3
NAT - JPE - REC - TER,141 - 110 - 937,4
NAT - SAL - TER,1071 - 317,4
NAT - FOR - SAL - TER,414 - 647 - 317,4
