,,
NAT - POV,3175,6
NAT - MAP - POV,1875 - 1723,6
NAT - BEL - POV,1552 - 1879,5
NAT - FOR - POV,414 - 2838,4
NAT - FOR - MAP - POV,414 - 1456 - 1723,5
NAT - FOR - BEL - POV,414 - 1137 - 1879,4
NAT - BEL - MAP - POV,1552 - 329 - 1723,6
